route_number,stop_index,stop_name,hour,minutes
299,1,საავადმყოფოების კომპლექსი - [2293],6,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],7,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],8,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],9,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],10,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],11,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],12,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],13,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],14,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],15,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],16,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],17,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],18,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],19,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],20,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],21,00 10 20 30 40 50
299,1,საავადმყოფოების კომპლექსი - [2293],22,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],6,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],7,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],8,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],9,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],10,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],11,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],12,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],13,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],14,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],15,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],16,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],17,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],18,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],19,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],20,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],21,00 10 20 30 40 50
299,2,ინფექციური საავადმყოფო - [893],22,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],6,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],7,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],8,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],9,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],10,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],11,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],12,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],13,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],14,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],15,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],16,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],17,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],18,00 10 20 30 40 50
299,3,კონსტანტინე ჩაჩავას ქუჩა - [894],19,00 10 20 30 40 50
