"route_number","stop_name","hour","minutes"
"305","ქიზიყის ქუჩა #5 - [2929]","STOP_NAME","1"
"305","ქიზიყის ქუჩა #7 - [3222]","STOP_NAME","2"
"305","ქიზიყის ქუჩა #11 - [3220]","STOP_NAME","3"
"305","პოლიციის ქუჩა - [3223]","STOP_NAME","4"
"305","პეტრე სურგულაძის ქუჩა - [3211]","STOP_NAME","5"
"305","აბელ ენუქიძის ქუჩა - [2823]","STOP_NAME","6"
"305","ბესარიონ ჭიჭინაძის შესახვევი - [3212]","STOP_NAME","7"
"305","შალვა ნებიერიძის ქუჩა - [3213]","STOP_NAME","8"
"305","ლუკა რაზიკაშვილის ქუჩა - [3214]","STOP_NAME","9"
"305","#201-ე სუსტმხედველთა საჯარო სკოლა - [1098]","STOP_NAME","10"
"305","ბესარიონ ჭიჭინაძის ქუჩა #21 - [1095]","STOP_NAME","11"
"305","#94-ე საჯარო სკოლა - [1099]","STOP_NAME","12"
"305","#131-ე საჯარო სკოლა - [1093]","STOP_NAME","13"
"305","ზურაბ კვანტრიშვილის ქუჩა - [1101]","STOP_NAME","14"
"305","გუმათჰესის ქუჩა #10 - [1102]","STOP_NAME","15"
"305","ენგურჰესის ქუჩა - [3068]","STOP_NAME","16"
"305","ბესარიონ ჭიჭინაძის ქუჩა - [1103]","STOP_NAME","17"
"305","ფრონეს ქუჩა - [1091]","STOP_NAME","18"
"305","რქაწითლის ქუჩა - [3532]","STOP_NAME","19"
"305","ქინძმარაულის ქუჩა #32 - [3533]","STOP_NAME","20"
"305","ქინძმარაულის ქუჩა #15 - [1088]","STOP_NAME","21"
"305","საფერავის ქუჩა - [1090]","STOP_NAME","22"
"305","რკინიგზის მახარისხებელი - [1086]","STOP_NAME","23"
"305","გადასასვლელი ხიდი - [3536]","STOP_NAME","24"
"305","სამგორის პოლიციის დეპარტამენტი - [3055]","STOP_NAME","25"
"305","მოსკოვის გამზირი #47 - [1082]","STOP_NAME","26"
"305","ნანა სამარგულიანის ქუჩა - [1080]","STOP_NAME","27"
"305","მოსკოვის გამზირი #38 - [1076]","STOP_NAME","28"
"305","მოსკოვის გამზირი #24ა - [1074]","STOP_NAME","29"
"305","სამგორის რაიონის გამგეობა - [1498]","STOP_NAME","30"
"305","მოსკოვის გამზირი #19 - [1071]","STOP_NAME","31"
"305","მოსკოვის გამზირი #15 - [1069]","STOP_NAME","32"
"305","ვარლამ ჩერქეზიშვილის ქუჩა - [2149]","STOP_NAME","33"
"305","მ/ს "სამგორი" - [1066]","STOP_NAME","34"
"305","ტბელ აბუსერიძის ქუჩა - [3097]","STOP_NAME","35"
"305","მ/ს "ისანი" - [4584]","STOP_NAME","36"
"305","#87-ე საჯარო სკოლა - [1016]","STOP_NAME","37"
"305","ლეხ კაჩინსკის ქუჩა - [1014]","STOP_NAME","38"
"305","#96-ე საჯარო სკოლა - [2123]","STOP_NAME","39"
"305","მ/ს "300 არაგველი" - [4351]","STOP_NAME","40"
"305","#89-ე საჯარო სკოლა - [4348]","STOP_NAME","41"
"305","#202-ე უსინათლო და მცირემხედველთა საჯარო სკოლა - [4324]","STOP_NAME","42"
"305","მ/ს "ავლაბარი" - [4344]","STOP_NAME","43"
"305","ნიკოლოზ ბარათაშვილის ქუჩა - [3983]","STOP_NAME","44"
"305","თავისუფლების მოედანი - [822]","STOP_NAME","45"
"305","პირველი კლასიკური გიმნაზია - [819]","STOP_NAME","46"
"305","ოპერის თეატრი - [817]","STOP_NAME","47"
