"route_number","stop_index","hour","minutes"
"305","1","6","05 15 25 35 45 55"
"305","1","7","05 15 25 35 45 55"
"305","1","8","05 15 25 35 45 55"
"305","1","9","05 15 25 35 45 55"
"305","1","10","05 15 25 35 45 55"
"305","1","11","05 15 25 35 45 55"
"305","1","12","05 15 25 35 45 55"
"305","1","13","05 15 25 35 45 55"
"305","1","14","05 15 25 35 45 55"
"305","1","15","05 15 25 35 45 55"
"305","1","16","05 15 25 35 45 55"
"305","1","17","05 15 25 35 45 55"
"305","1","18","05 15 25 35 45 55"
"305","1","19","05 15 25 35 45 55"
"305","1","20","05 15 25 35 45 55"
"305","1","21","05 15 25 35 45 55"
"305","1","22","05 15 25 35 45 55"
"305","2","6","05 15 25 35 45 55"
"305","2","7","05 15 25 35 45 55"
"305","2","8","05 15 25 35 45 55"
"305","2","9","05 15 25 35 45 55"
"305","2","10","05 15 25 35 45 55"
"305","2","11","05 15 25 35 45 55"
"305","2","12","05 15 25 35 45 55"
"305","2","13","05 15 25 35 45 55"
"305","2","14","05 15 25 35 45 55"
"305","2","15","05 15 25 35 45 55"
"305","2","16","05 15 25 35 45 55"
"305","2","17","05 15 25 35 45 55"
"305","2","18","05 15 25 35 45 55"
"305","2","19","05 15 25 35 45 55"
"305","2","20","05 15 25 35 45 55"
"305","2","21","05 15 25 35 45 55"
"305","2","22","05 15 25 35 45 55"
"305","3","6","06 16 26 36 46 56"
"305","3","7","06 16 26 36 46 56"
"305","3","8","06 16 26 36 46 56"
"305","3","9","06 16 26 36 46 56"
"305","3","10","06 16 26 36 46 56"
"305","3","11","06 16 26 36 46 56"
"305","3","12","06 16 26 36 46 56"
"305","3","13","06 16 26 36 46 56"
"305","3","14","06 16 26 36 46 56"
"305","3","15","06 16 26 36 46 56"
"305","3","16","06 16 26 36 46 56"
"305","3","17","06 16 26 36 46 56"
"305","3","18","06 16 26 36 46 56"
"305","3","19","06 16 26 36 46 56"
"305","3","20","06 16 26 36 46 56"
"305","3","21","06 16 26 36 46 56"
"305","3","22","06 16 26 36 46 56"
"305","4","6","07 17 27 37 47 57"
"305","4","7","07 17 27 37 47 57"
"305","4","8","07 17 27 37 47 57"
"305","4","9","07 17 27 37 47 57"
"305","4","10","07 17 27 37 47 57"
"305","4","11","07 17 27 37 47 57"
"305","4","12","07 17 27 37 47 57"
"305","4","13","07 17 27 37 47 57"
"305","4","14","07 17 27 37 47 57"
"305","4","15","07 17 27 37 47 57"
"305","4","16","07 17 27 37 47 57"
"305","4","17","07 17 27 37 47 57"
"305","4","18","07 17 27 37 47 57"
"305","4","19","07 17 27 37 47 57"
"305","4","20","07 17 27 37 47 57"
"305","4","21","07 17 27 37 47 57"
"305","4","22","07 17 27 37 47 57"
"305","5","6","08 18 28 38 48 58"
"305","5","7","08 18 28 38 48 58"
"305","5","8","08 18 28 38 48 58"
"305","5","9","08 18 28 38 48 58"
"305","5","10","08 18 28 38 48 58"
"305","5","11","08 18 28 38 48 58"
"305","5","12","08 18 28 38 48 58"
"305","5","13","08 18 28 38 48 58"
"305","5","14","08 18 28 38 48 58"
"305","5","15","08 18 28 38 48 58"
"305","5","16","08 18 28 38 48 58"
"305","5","17","08 18 28 38 48 58"
"305","5","18","08 18 28 38 48 58"
"305","5","19","08 18 28 38 48 58"
"305","5","20","08 18 28 38 48 58"
"305","5","21","08 18 28 38 48 58"
"305","5","22","08 18 28 38 48 58"
"305","6","6","09 19 29 39 49 59"
"305","6","7","09 19 29 39 49 59"
"305","6","8","09 19 29 39 49 59"
"305","6","9","09 19 29 39 49 59"
"305","6","10","09 19 29 39 49 59"
"305","6","11","09 19 29 39 49 59"
"305","6","12","09 19 29 39 49 59"
"305","6","13","09 19 29 39 49 59"
"305","6","14","09 19 29 39 49 59"
"305","6","15","09 19 29 39 49 59"
"305","6","16","09 19 29 39 49 59"
"305","6","17","09 19 29 39 49 59"
"305","6","18","09 19 29 39 49 59"
"305","6","19","09 19 29 39 49 59"
"305","6","20","09 19 29 39 49 59"
"305","6","21","09 19 29 39 49 59"
"305","6","22","09 19 29 39 49 59"
"305","7","6","10 20 30 40 50"
"305","7","7","00 10 20 30 40 50"
"305","7","8","00 10 20 30 40 50"
"305","7","9","00 10 20 30 40 50"
"305","7","10","00 10 20 30 40 50"
"305","7","11","00 10 20 30 40 50"
"305","7","12","00 10 20 30 40 50"
"305","7","13","00 10 20 30 40 50"
"305","7","14","00 10 20 30 40 50"
"305","7","15","00 10 20 30 40 50"
"305","7","16","00 10 20 30 40 50"
"305","7","17","00 10 20 30 40 50"
"305","7","18","00 10 20 30 40 50"
"305","7","19","00 10 20 30 40 50"
"305","7","20","00 10 20 30 40 50"
"305","7","21","00 10 20 30 40 50"
"305","7","22","00 10 20 30 40 50"
"305","7","23","00"
"305","8","6","11 21 31 41 51"
"305","8","7","01 11 21 31 41 51"
"305","8","8","01 11 21 31 41 51"
"305","8","9","01 11 21 31 41 51"
"305","8","10","01 11 21 31 41 51"
"305","8","11","01 11 21 31 41 51"
"305","8","12","01 11 21 31 41 51"
"305","8","13","01 11 21 31 41 51"
"305","8","14","01 11 21 31 41 51"
"305","8","15","01 11 21 31 41 51"
"305","8","16","01 11 21 31 41 51"
"305","8","17","01 11 21 31 41 51"
"305","8","18","01 11 21 31 41 51"
"305","8","19","01 11 21 31 41 51"
"305","8","20","01 11 21 31 41 51"
"305","8","21","01 11 21 31 41 51"
"305","8","22","01 11 21 31 41 51"
"305","8","23","01"
"305","9","6","13 23 33 43 53"
"305","9","7","03 13 23 33 43 53"
"305","9","8","03 13 23 33 43 53"
"305","9","9","03 13 23 33 43 53"
"305","9","10","03 13 23 33 43 53"
"305","9","11","03 13 23 33 43 53"
"305","9","12","03 13 23 33 43 53"
"305","9","13","03 13 23 33 43 53"
"305","9","14","03 13 23 33 43 53"
"305","9","15","03 13 23 33 43 53"
"305","9","16","03 13 23 33 43 53"
"305","9","17","03 13 23 33 43 53"
"305","9","18","03 13 23 33 43 53"
"305","9","19","03 13 23 33 43 53"
"305","9","20","03 13 23 33 43 53"
"305","9","21","03 13 23 33 43 53"
"305","9","22","03 13 23 33 43 53"
"305","9","23","03"
"305","10","6","14 24 34 44 54"
"305","10","7","04 14 24 34 44 54"
"305","10","8","04 14 24 34 44 54"
"305","10","9","04 14 24 34 44 54"
"305","10","10","04 14 24 34 44 54"
"305","10","11","04 14 24 34 44 54"
"305","10","12","04 14 24 34 44 54"
"305","10","13","04 14 24 34 44 54"
"305","10","14","04 14 24 34 44 54"
"305","10","15","04 14 24 34 44 54"
"305","10","16","04 14 24 34 44 54"
"305","10","17","04 14 24 34 44 54"
"305","10","18","04 14 24 34 44 54"
"305","10","19","04 14 24 34 44 54"
"305","10","20","04 14 24 34 44 54"
"305","10","21","04 14 24 34 44 54"
"305","10","22","04 14 24 34 44 54"
"305","10","23","04"
"305","11","6","15 25 35 45 55"
"305","11","7","05 15 25 35 45 55"
"305","11","8","05 15 25 35 45 55"
"305","11","9","05 15 25 35 45 55"
"305","11","10","05 15 25 35 45 55"
"305","11","11","05 15 25 35 45 55"
"305","11","12","05 15 25 35 45 55"
"305","11","13","05 15 25 35 45 55"
"305","11","14","05 15 25 35 45 55"
"305","11","15","05 15 25 35 45 55"
"305","11","16","05 15 25 35 45 55"
"305","11","17","05 15 25 35 45 55"
"305","11","18","05 15 25 35 45 55"
"305","11","19","05 15 25 35 45 55"
"305","11","20","05 15 25 35 45 55"
"305","11","21","05 15 25 35 45 55"
"305","11","22","05 15 25 35 45 55"
"305","11","23","05"
"305","12","6","16 26 36 46 56"
"305","12","7","06 16 26 36 46 56"
"305","12","8","06 16 26 36 46 56"
"305","12","9","06 16 26 36 46 56"
"305","12","10","06 16 26 36 46 56"
"305","12","11","06 16 26 36 46 56"
"305","12","12","06 16 26 36 46 56"
"305","12","13","06 16 26 36 46 56"
"305","12","14","06 16 26 36 46 56"
"305","12","15","06 16 26 36 46 56"
"305","12","16","06 16 26 36 46 56"
"305","12","17","06 16 26 36 46 56"
"305","12","18","06 16 26 36 46 56"
"305","12","19","06 16 26 36 46 56"
"305","12","20","06 16 26 36 46 56"
"305","12","21","06 16 26 36 46 56"
"305","12","22","06 16 26 36 46 56"
"305","12","23","06"
"305","13","6","17 27 37 47 57"
"305","13","7","07 17 27 37 47 57"
"305","13","8","07 17 27 37 47 57"
"305","13","9","07 17 27 37 47 57"
"305","13","10","07 17 27 37 47 57"
"305","13","11","07 17 27 37 47 57"
"305","13","12","07 17 27 37 47 57"
"305","13","13","07 17 27 37 47 57"
