"route_number","stop_index","stop_name"
"305","1","ქიზიყის ქუჩა #5 - [2929]"
"305","2","ქიზიყის ქუჩა #7 - [3222]"
"305","3","ქიზიყის ქუჩა #11 - [3220]"
"305","4","პოლიციის ქუჩა - [3223]"
"305","5","პეტრე სურგულაძის ქუჩა - [3211]"
"305","6","აბელ ენუქიძის ქუჩა - [2823]"
"305","7","ბესარიონ ჭიჭინაძის შესახვევი - [3212]"
"305","8","შალვა ნებიერიძის ქუჩა - [3213]"
"305","9","ლუკა რაზიკაშვილის ქუჩა - [3214]"
"305","10","#201-ე სუსტმხედველთა საჯარო სკოლა - [1098]"
"305","11","ბესარიონ ჭიჭინაძის ქუჩა #21 - [1095]"
"305","12","#94-ე საჯარო სკოლა - [1099]"
"305","13","#131-ე საჯარო სკოლა - [1093]"
"305","14","ზურაბ კვანტრიშვილის ქუჩა - [1101]"
"305","15","გუმათჰესის ქუჩა #10 - [1102]"
"305","16","ენგურჰესის ქუჩა - [3068]"
"305","17","ბესარიონ ჭიჭინაძის ქუჩა - [1103]"
"305","18","ფრონეს ქუჩა - [1091]"
"305","19","რქაწითლის ქუჩა - [3532]"
"305","20","ქინძმარაულის ქუჩა #32 - [3533]"
"305","21","ქინძმარაულის ქუჩა #15 - [1088]"
"305","22","საფერავის ქუჩა - [1090]"
"305","23","რკინიგზის მახარისხებელი - [1086]"
"305","24","გადასასვლელი ხიდი - [3536]"
"305","25","სამგორის პოლიციის დეპარტამენტი - [3055]"
"305","26","მოსკოვის გამზირი #47 - [1082]"
"305","27","ნანა სამარგულიანის ქუჩა - [1080]"
"305","28","მოსკოვის გამზირი #38 - [1076]"
"305","29","მოსკოვის გამზირი #24ა - [1074]"
"305","30","სამგორის რაიონის გამგეობა - [1498]"
"305","31","მოსკოვის გამზირი #19 - [1071]"
"305","32","მოსკოვის გამზირი #15 - [1069]"
"305","33","ვარლამ ჩერქეზიშვილის ქუჩა - [2149]"
"305","34","მ/ს ""სამგორი"" - [1066]"
